Agua_(g),Proteina_(g),Lipidos_Tot_(g),Carbohitrado_(g),Fibra_TD_(g),Azucar_Tot_(g),Calcio_(mg),Hierro_(mg),Magnesio_(mg),Fosforo_(mg),Potasio_(mg),Energ_Kcal,Tasa_obesidad
87.7,4.1,2,5.3,0,5.3,143,0.06,13,82,180,56,3
7.2,3.2,17.5,71.22,2.9,57.81,53,1.2,58,75,196,443,2
82.5,12.4,1,3.2,0.6,2.6,53,0.14,5,134,86,74,4
90.8,3.4,0.18,4.85,0,4.85,204,0.04,11,101,166,35,1
12.8,23.5,2.6,52.9,1.6,51.3,880,7.7,200,150,2200,329,7
83.5,12.4,1,2.7,0,2.7,61,0.14,5,134,86,72,1
87.63,0.64,0.4,10.68,0.6,8.68,100,0.33,11,24,79,49,3
83.5,10.9,1,3,0,3,56,0.1,4,128,86,67,6
90,1.6,2,5.3,0,5.3,82,0.1,1,100,150,46,8
15.87,0.85,81.11,0.06,0,0.06,24,0.02,2,24,24,717,3
16.72,0.49,78.3,2.87,0,0.06,23,0.05,1,24,41,718,1
0.24,0.28,99.48,0,0,0,4,0,0,3,5,876,7
74.79,3.25,16.57,4.68,0,4.68,113,0.03,10,87,162,178,2
2.97,34.3,5.78,49,0,49,1184,0.3,110,933,1592,387,10
17.94,0.85,81.11,0.06,0,0.06,24,0.02,2,24,24,717,7
87.3,2,0.6,9.26,2,2.93,32,0.4,26,35,352,50,7
0,0,100,0,0,0,0,0,0,0,0,884,6
0,0,100,0,0,0,0,0,0,0,0,884,1
0,0,100,0,0,0,0,0,0,0,0,884,1
17.07,0.31,80.32,0.77,0,0,10,0.04,1,10,22,727,4
56,1,40,1,0,0,24,0.04,2,20,36,362,0
42.1,3.3,55.1,0,0,0,48,1.09,5,34,71,499,2
43.2,3.3,55.1,0,0,0,48,1.09,5,34,71,499,10
0,0,100,0,0,0,0,0,0,0,0,884,6
33.95,0.14,64.63,0.14,0,0,1184,0.33,5,4,28,583,5
59.89,0.02,36.41,1.98,0,15.98,3,0,1,1,32,337,3
84.02,3.95,2.56,8.29,0.1,5.29,131,0.22,12,110,167,72,1
89.8,0.41,1.22,7.76,0.4,4.9,8,0.15,1,34,0,45,8
2.5,7.1,9.23,78.65,2.7,33.36,9,18.36,69,194,236,417,0
6.59,8.12,5.64,74.83,4.7,0.88,413,30,23,115,121,369,8
2.5,7.62,7.33,79.68,2.5,29.29,23,1.97,74,213,296,407,6
2.59,8.19,9.8,76.19,5.5,27.1,323,14.5,52,194,264,410,9
2,6.8,6.19,82,5.5,32.5,357,28.89,57,214,297,390,6
94.5,0.39,0.04,3.61,5.5,23.9,103,0.1,14,12,655,14,7
96.7,0.23,0.02,2.16,5.5,23.9,59,0.1,8,7,354,8,7
97.92,0.11,0.13,0.38,5.5,23.4,34,0.63,2,4,12,3,5
95.63,1.35,0.22,2.23,1.1,0.94,35,1.24,13,33,238,13,2
80.94,2.87,3.68,10.78,1.9,40.99,57,0.57,19,63,378,88,4
74,5.06,7.59,11.27,1.8,37.7,119,0.64,20,113,396,132,1
77.49,2.05,4.96,14.36,2.2,23.63,35,0.19,19,60,144,108,4
78.98,2.3,4.12,12.84,0.9,12.61,83,0.32,15,95,219,93,4
79.17,2.12,4.3,12.77,1.1,5.3,36,0.38,14,56,203,93,10
72.51,1.87,6.66,18.28,2.9,57.81,25,0.75,11,29,248,135,9
63.71,2.46,8.79,24.13,3.8,2.6,33,0.99,15,38,327,178,10
86.41,1,0.1,11.69,2,2.2,48,0.7,34,33,352,45,4
87.8,0.9,0.09,10.49,3.2,1.97,41,0.6,29,27,284,40,0
82.5,1.76,0.1,14.41,1.3,2.83,29,0.88,14,22,212,57,0
87.8,1.23,0.07,10.05,1.3,8.68,19,0.58,9,14,133,39,4
96.7,0.23,0.02,2.16,1.3,3,59,0.1,8,7,354,8,8
87.8,0.9,0.09,10.49,3.2,1.97,41,0.6,29,27,284,40,4
87.8,1.23,0.07,10.04,3.2,0.06,19,0.58,9,14,133,39,5
75.61,1.86,4.22,16.81,1.5,1.43,24,0.26,18,45,284,113,9
76.2,0.58,0.41,21.15,1,18.27,61,0.25,7,18,100,91,7
65.26,0.37,0.26,33.73,1.1,26.68,4,0.59,4,12,32,122,4
0.62,17.28,55.2,23.32,5.7,10.54,64,4.12,311,666,576,617,7
3.34,24.9,56.98,12.05,4.7,0.06,53,4.02,237,446,421,612,1
2.96,17.56,49.41,27.57,2,2.93,43,5.03,258,457,546,587,4
3.05,17,53.76,21.19,9.3,0.49,426,8.95,95,732,414,595,6
1.6,18.08,50.87,24.05,5.5,0,960,19.2,362,659,582,586,3
3,17.95,56.44,17.89,9.3,0,141,6.35,353,790,459,607,6
1.64,20.96,55.5,18.82,10.3,4.43,347,3.49,279,508,748,614,5
3,17.81,48,26.19,9.3,0,420,2.51,96,752,414,570,2
0.62,17.28,55.2,23.32,5.7,10.54,64,4.12,311,666,576,617,1
2.34,12.12,53.03,30.3,3,9.09,61,4.91,206,388,447,609,3
1.64,20.96,55.5,18.82,10.3,6.27,347,3.49,279,508,748,614,9
3,17.4,53.01,21.5,4.7,0,141,4.42,95,790,459,592,5
74.13,17.28,8.02,0,0,15.98,22,0.5,25,240,375,146,7
66.83,22.15,10.28,0,0,5.29,28,0.64,32,308,481,187,0
1.14,24.06,49.94,21.57,8,8.41,45,1.9,160,319,745,589,1
1.23,22.21,51.36,22.31,5,10.49,49,1.74,168,335,558,598,6
1.2,25.9,34,35.65,5.2,9.28,35,1.9,170,369,669,520,6
1.47,25.72,50.81,18.75,5.6,10.47,43,16.6,355,368,667,591,7
1.48,26.06,51.47,17.69,5.7,10.94,45,17.5,370,316,744,593,1
1.55,21.93,49.54,23.98,5.7,6.5,54,2.16,179,335,592,588,5
1.14,24.06,49.94,21.57,8,8.41,45,1.9,160,319,745,589,10
1.23,22.21,51.36,22.31,5,10.49,49,1.74,168,335,558,598,0
0.99,24.47,54.17,17,6.1,3.11,45,1.67,191,426,780,608,10
25.87,5,13.96,53.64,0.6,33.36,47,1.48,8,140,149,353,2
23.1,5.2,17.9,52.5,1,40.99,64,1.62,13,134,106,389,2
4.6,6.1,18.8,68.9,0.8,20.24,29,2.22,12,102,111,467,6
7.28,8.92,23.82,58.15,2.1,28.58,41,2.11,44,156,202,473,6
11.5,5.3,24.4,57.7,1.7,12.61,12,0.89,32,87,107,457,10
12.6,8.2,25,52.1,1.1,5.3,101,1.7,37,241,308,458,5
4,9.1,27.5,57.3,1.2,57.81,111,1.87,41,264,338,503,2
5.9,9,23.8,58.9,1.2,2.6,39,2.23,39,116,231,475,1
2.8,8.8,21.1,65.6,1.9,35.44,53,2.6,49,188,192,478,3
3.7,10,34,50.8,1.9,1.97,43,2.55,51,154,294,535,6
3.28,12.41,25.12,56.74,3.4,6.98,50,2.72,56,268,218,496,1
2.93,11.47,24.54,58.38,2.3,10.5,81,2.77,55,274,215,494,3
3.4,13.5,26.7,53.8,4.4,3,170,2.67,38,347,297,495,5
23.2,8.2,21,45.8,2.6,11.26,37,2.03,16,105,118,406,2
48.37,5.23,6.83,37.75,1,8.32,78,5.67,14,215,90,233,0
5.7,5.7,28.4,58.2,1,1.43,38,2.48,55,100,221,488,0
23.1,5.2,17.9,52.5,1,18.27,64,0.6,13,134,106,389,0
4.6,6.1,18.8,68.9,0.8,26.68,29,0.29,12,102,111,467,9
6.35,9,24.28,58.48,2.8,32.55,35,2.72,191,347,209,480,0
2.7,7.7,20.8,66.2,2,17.3,53,3.1,11,116,65,479,1
2.7,9.7,17.9,66.3,2.7,9,43,3.5,13,190,71,461,10
2.7,9.5,18,67.2,2.7,11.8,50,3.3,12,119,68,463,9
7.3,10.5,15.8,64.4,4.3,0,91,2.13,86,250,291,426,2
2.54,8.72,20.18,67.41,1.9,62.68,21,0.71,66,132,220,486,1
3.2,10.2,31.1,53.4,2.8,23.74,108,1.45,67,227,339,508,4
5.9,9.8,20,62.2,4.2,0,80,1.94,88,262,377,432,0
1.23,5.4,18.9,72.9,2,45.9,36,0.79,48,97,220,459,4
5.25,0.03,3.3,90.4,0,80.46,4,0.01,0,1,3,391,3
0.75,2.2,29.05,67.1,0,67.1,34,0.08,5,31,64,539,0
2.67,18.3,29.8,46.88,5,38.3,110,1.7,110,310,505,529,7
10.93,3.78,6.59,77.75,0.7,73.36,42,0.22,20,68,119,387,7
26.72,0,0.09,72.43,0,72.25,2,0.09,0,10,3,291,6
1.44,10.24,30.53,55.36,3.6,47.17,78,1.21,62,161,343,515,2
1.82,9.18,32.67,54.15,3.1,36.13,75,1.32,61,173,264,536,3
13.33,1.11,13.06,71.8,1.9,0.01,12,0.93,30,51,143,408,8
56.45,0.39,0.3,42.47,1.5,35.3,14,0.31,4,8,91,173,8
40.63,1.21,0,57.01,0,57,49,0,5,39,66,216,7
